Hugo Symbol	Entrez Gene ID	GRCh37 Isoform	GRCh37 RefSeq	GRCh38 Isoform	GRCh38 RefSeq	Gene Type	# of occurrence within resources (Column J-P)	OncoKB Annotated	MSK-IMPACT	MSK-HEME	FOUNDATION ONE	FOUNDATION ONE HEME	Vogelstein	COSMIC CGC (v99)	Gene Aliases
MKI67	4288	ENST00000368654	NM_002417	ENST00000368654	NM_002417	ONCOGENE	2	Yes	No	No	No	Yes	No	No	MIB-1, PPP1R105
MLLT6	4302						2	No	No	No	No	Yes	No	Yes	AF17, FLJ23480
MOB3B	79817	ENST00000262244	NM_024761.4	ENST00000262244	NM_024761.4	TSG	2	Yes	No	Yes	No	No	No	No	C9orf35, FLJ13204, MOB1D, MOBKL2B
MPEG1	219972	ENST00000361050	NM_001039396.1	ENST00000361050	NM_001039396.1	NEITHER	2	Yes	No	Yes	No	No	No	No	MPG1
MRTFA	57591						2	No	No	No	No	Yes	No	Yes	BSAC, KIAA1438, MKL, MKL1, MRTF-A
MSN	4478						2	No	No	No	No	Yes	No	Yes	
MUC1	4582						2	No	No	No	No	Yes	No	Yes	ADMCKD, ADMCKD1, CD227, MCD, MCKD, MCKD1, PEM, PUM
MYH9	4627						2	No	No	No	No	Yes	No	Yes	DFNA17, EPSTS, FTNS, MHA, NMHC-II-A, NMMHCA
MYO5A	4644	ENST00000399231	NM_000259	ENST00000399231	NM_000259	ONCOGENE	2	Yes	No	No	No	No	No	Yes	MYH12, MYO5, MYR12
NAB2	4665	ENST00000300131	NM_005967.3	ENST00000300131	NM_005967.4	ONCOGENE	2	Yes	No	No	No	No	No	Yes	MADER
NADK	65220	ENST00000378625	NM_001198994.1	ENST00000378625		ONCOGENE	2	Yes	Yes	No	No	No	No	No	FLJ13052
NCOA2	10499						2	No	No	No	No	Yes	No	Yes	KAT13C, NCoA-2, TIF2, bHLHe75
NCOA4	8031	ENST00000581486		ENST00000581486	NM_001145263.2	ONCOGENE	2	Yes	No	No	No	No	No	Yes	ARA70, DKFZp762E1112, ELE1, PTC3, RFG
NDRG1	10397						2	No	No	No	No	Yes	No	Yes	CAP43, NDR1, RTP, TDD5
NFATC2	4773	ENST00000396009	NM_173091.3	ENST00000396009	NM_173091.4	ONCOGENE_AND_TSG	2	Yes	No	No	No	No	No	Yes	NF-ATP, NFAT1, NFATp
NFE2	4778	ENST00000312156	NM_001136023.2	ENST00000312156	NM_001136023.2	ONCOGENE	2	Yes	No	Yes	No	No	No	No	NF-E2
NFKB2	4791						2	No	No	No	No	Yes	No	Yes	LYT-10, NF-kB2, p49/p100
NIN	51199						2	No	No	No	No	Yes	No	Yes	
NRG1	3084	ENST00000405005	NM_013964.3	ENST00000405005	NM_013964.3	ONCOGENE	2	Yes	No	No	No	No	No	Yes	GGF, HGL, NDF, NRG1-IT2
NUMA1	4926						2	No	No	No	No	Yes	No	Yes	
PAFAH1B2	5049						2	No	No	No	No	Yes	No	Yes	
PAK3	5063	ENST00000262836	NM_001128173	ENST00000262836	NM_001128173	ONCOGENE	2	Yes	No	No	No	Yes	No	No	MRX30, MRX47, bPAK, hPAK3
PAX8	7849	ENST00000429538		ENST00000429538		ONCOGENE	2	Yes	No	No	No	No	No	Yes	
PBX1	5087						2	No	No	No	No	Yes	No	Yes	
PCM1	5108						2	No	No	No	No	Yes	No	Yes	PTC4
PDE4DIP	9659						2	No	No	No	No	Yes	No	Yes	CMYA2, KIAA0454, KIAA0477, MMGL
PDS5B	23047	ENST00000315596	NM_015032.3	ENST00000315596	NM_015032.3	TSG	2	Yes	No	Yes	No	No	No	No	APRIN, AS3, CG008, FLJ23236, KIAA0979
PER1	5187						2	No	No	No	No	Yes	No	Yes	PER, RIGUI
PGBD5	79605	ENST00000391860	NM_001258311.1	ENST00000391860		ONCOGENE	2	Yes	Yes	No	No	No	No	No	DKFZp761A0620, FLJ11413
PIGA	5277	ENST00000333590	NM_002641.3	ENST00000333590	NM_002641.3	TSG	2	Yes	No	Yes	No	No	No	No	GPI3
PIK3C2B	5287	ENST00000367187	NM_002646	ENST00000367187	NM_002646	ONCOGENE	2	Yes	No	No	Yes	No	No	No	C2-PI3K, PI3K-C2beta
PLAG1	5324						2	No	No	No	No	Yes	No	Yes	ZNF912
POU2AF1	5450						2	No	No	No	No	Yes	No	Yes	BOB1, OBF1
PPP2R2A	5520	ENST00000380737	NM_002717.3	ENST00000380737	NM_002717.3	TSG	2	Yes	No	No	Yes	No	No	No	B55A, B55alpha, PR52A, PR55A, PR55alpha
